filename,original_name,file_path,file_size,mime_type,alt_text,uploaded_at
3. Ahmedabad - Gandhinagar Metro 1.webp,3. Ahmedabad - Gandhinagar Metro 1.webp,/media/project-photos/metro-rail/3. Ahmedabad - Gandhinagar Metro 1.webp,62056,image/webp,Metro rail project: 3. Ahmedabad - Gandhinagar Metro 1,2025-08-22 09:25:35
3.Ahmedabad - Gandhinagar Metro.webp,3.Ahmedabad - Gandhinagar Metro.webp,/media/project-photos/metro-rail/3.Ahmedabad - Gandhinagar Metro.webp,146738,image/webp,Metro rail project: 3.Ahmedabad - Gandhinagar Metro,2025-08-22 09:25:35
3.Ahmedabad-Gandhinagar-Metro.jpg,3.Ahmedabad-Gandhinagar-Metro.jpg,/media/project-photos/metro-rail/3.Ahmedabad-Gandhinagar-Metro.jpg,79517,image/jpeg,Metro rail project: 3.Ahmedabad-Gandhinagar-Metro,2025-08-22 09:25:35
3.Ahmedabad-Gandhinagar-Metro.webp,3.Ahmedabad-Gandhinagar-Metro.webp,/media/project-photos/metro-rail/3.Ahmedabad-Gandhinagar-Metro.webp,626626,image/webp,Metro rail project: 3.Ahmedabad-Gandhinagar-Metro,2025-08-22 09:25:35
4.SURAT METRO (1).webp,4.SURAT METRO (1).webp,/media/project-photos/metro-rail/4.SURAT METRO (1).webp,74474,image/webp,Metro rail project: 4.SURAT METRO (1),2025-08-22 09:25:35
4.SURAT METRO 2.jpeg,4.SURAT METRO 2.jpeg,/media/project-photos/metro-rail/4.SURAT METRO 2.jpeg,126580,image/jpeg,Metro rail project: 4.SURAT METRO 2,2025-08-22 09:25:35
4.SURAT METRO.webp,4.SURAT METRO.webp,/media/project-photos/metro-rail/4.SURAT METRO.webp,74474,image/webp,Metro rail project: 4.SURAT METRO,2025-08-22 09:25:35
5.JAIPUR METRO 1.webp,5.JAIPUR METRO 1.webp,/media/project-photos/metro-rail/5.JAIPUR METRO 1.webp,41222,image/webp,Metro rail project: 5.JAIPUR METRO 1,2025-08-22 09:25:35
6. RAILWAY 1.webp,6. RAILWAY 1.webp,/media/project-photos/metro-rail/6. RAILWAY 1.webp,58284,image/webp,Metro rail project: 6. RAILWAY 1,2025-08-22 09:25:35
6.RAILWAY 2.jpeg,6.RAILWAY 2.jpeg,/media/project-photos/metro-rail/6.RAILWAY 2.jpeg,59810,image/jpeg,Metro rail project: 6.RAILWAY 2,2025-08-22 09:25:35
6.RAILWAY.webp,6.RAILWAY.webp,/media/project-photos/metro-rail/6.RAILWAY.webp,130406,image/webp,Metro rail project: 6.RAILWAY,2025-08-22 09:25:35
JAIPUR METRO.jpg,JAIPUR METRO.jpg,/media/project-photos/metro-rail/JAIPUR METRO.jpg,66878,image/jpeg,Metro rail project: JAIPUR METRO,2025-08-22 09:25:35
metro depot gyaspur.jpg,metro depot gyaspur.jpg,/media/project-photos/metro-rail/metro depot gyaspur.jpg,1305157,image/jpeg,Metro rail project: metro depot gyaspur,2025-08-22 09:25:35
railway2.png,railway2.png,/media/project-photos/metro-rail/railway2.png,592021,image/png,Metro rail project: railway2,2025-08-22 09:25:35
10.Bharuch Dahej Access Controlled Expressway (1).webp,10.Bharuch Dahej Access Controlled Expressway (1).webp,/media/project-photos/roads/10.Bharuch Dahej Access Controlled Expressway (1).webp,64094,image/webp,Road infrastructure project: 10.Bharuch Dahej Access Controlled Expressway (1),2025-08-22 09:25:35
